Term: discourse                      Term Frequency: 175       
Term: W                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Z                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Center                         Term Frequency: 0         
Term: Bünz                           Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Freeman                        Term Frequency: 0         
Term: Outcomes                       Term Frequency: 0         
Term: Miettinen                      Term Frequency: 0         
Term: SNA                            Term Frequency: 0         
Term: Engeström                      Term Frequency: 0         
Term: Their                          Term Frequency: 0         
Term: Centre                         Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: Matsuzawa                      Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Finding                        Term Frequency: 0         
Term: Seng                           Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Collective                     Term Frequency: 0         
Term: Metrics                        Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: December                       Term Frequency: 0         
Term: D.W                            Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: Prior                          Term Frequency: 0         
Term: Centrality                     Term Frequency: 0         
Term: Cognition                      Term Frequency: 0         
Term: Bereiter                       Term Frequency: 0         
Term: Time                           Term Frequency: 0         
Term: Zhang                          Term Frequency: 0         
Term: Smith                          Term Frequency: 0         
Term: Keyword                        Term Frequency: 0         
Term: Lorenzatti                     Term Frequency: 0         
Term: CONCLUSIONS                    Term Frequency: 0         
Term: Tan                            Term Frequency: 0         
Term: Chee                           Term Frequency: 0         
Term: Chen                           Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: Lakatos                        Term Frequency: 0         
Term: BC                             Term Frequency: 0         
Term: Brinton                        Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: Chiu                           Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: CA                             Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: Discussions                    Term Frequency: 0         
Term: Co                             Term Frequency: 0         
Term: DU                             Term Frequency: 0         
Term: De                             Term Frequency: 0         
Term: Ed                             Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: If                             Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Is                             Term Frequency: 0         
Term: KF                             Term Frequency: 0         
Term: Usage                          Term Frequency: 0         
Term: Mercer                         Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: NJ                             Term Frequency: 0         
Term: DU8                            Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Behavioral                     Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: DUs                            Term Frequency: 0         
Term: S6                             Term Frequency: 0         
Term: S7                             Term Frequency: 0         
Term: T1                             Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Other                          Term Frequency: 0         
Term: Scott                          Term Frequency: 0         
Term: Preliminary                    Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Relationships                  Term Frequency: 0         
Term: Affairs                        Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: Chiang                         Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Within                         Term Frequency: 0         
Term: Oshima                         Term Frequency: 0         
Term: Matrix                         Term Frequency: 0         
Term: Tracing                        Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: From                           Term Frequency: 0         
Term: DU’s                           Term Frequency: 0         
Term: Technological                  Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: SOBEK                          Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: BACKGROUND                     Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Advancement                    Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Sciences                       Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Similar                        Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Addison                        Term Frequency: 0         
Term: Designs                        Term Frequency: 0         
Term: Communication                  Term Frequency: 0         
Term: Frontline                      Term Frequency: 0         
Term: Muckay                         Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Macmillan                      Term Frequency: 0         
Term: Faust                          Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Eds                            Term Frequency: 0         
Term: Variable                       Term Frequency: 0         
Term: Encyclopedia                   Term Frequency: 0         
Term: Shum                           Term Frequency: 0         
Term: Environments                   Term Frequency: 0         
Term: England                        Term Frequency: 0         
Term: Therefore                      Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Analyses                       Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: G.N                            Term Frequency: 0         
Term: Rolheiser                      Term Frequency: 0         
Term: John                           Term Frequency: 0         
Term: Assisted                       Term Frequency: 0         
Term: American                       Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Mulkay                         Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Musgrave                       Term Frequency: 0         
Term: Why                            Term Frequency: 0         
Term: Subsequently                   Term Frequency: 0         
Term: Bachler                        Term Frequency: 0         
Term: Betweenness                    Term Frequency: 0         
Term: Sobek                          Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Graph                          Term Frequency: 0         
Term: Advances                       Term Frequency: 0         
Term: Johnson                        Term Frequency: 0         
Term: Upon                           Term Frequency: 0         
Term: Overall                        Term Frequency: 0         
Term: Each                           Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: Routledge                      Term Frequency: 0         
Term: Barbara                        Term Frequency: 0         
Term: Frequency                      Term Frequency: 0         
Term: Wesley                         Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Palo                           Term Frequency: 0         
Term: Japan                          Term Frequency: 0         
Term: Levine                         Term Frequency: 0         
Term: Content                        Term Frequency: 0         
Term: Software                       Term Frequency: 0         
Term: Epstein                        Term Frequency: 0         
Term: Participants                   Term Frequency: 0         
Term: Building                       Term Frequency: 0         
Term: I2A                            Term Frequency: 0         
Term: Harvard                        Term Frequency: 0         
Term: Forum                          Term Frequency: 0         
Term: Suthers                        Term Frequency: 0         
Term: Haklev                         Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Biggs                          Term Frequency: 0         
Term: Najafi                         Term Frequency: 0         
Term: Communal                       Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: Yen                            Term Frequency: 0         
Term: Studies                        Term Frequency: 0         
Term: CLIO                           Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: Segmented                      Term Frequency: 0         
Term: Jain                           Term Frequency: 0         
Term: Sicilia                        Term Frequency: 0         
Term: Tools                          Term Frequency: 0         
Term: Instructors                    Term Frequency: 0         
Term: Alwyn                          Term Frequency: 0         
Term: Analysts                       Term Frequency: 0         
Term: Singapore                      Term Frequency: 0         
Term: What                           Term Frequency: 0         
Term: Moreover                       Term Frequency: 0         
Term: Technologies                   Term Frequency: 0         
Term: Avenue                         Term Frequency: 0         
Term: Intentions                     Term Frequency: 0         
Term: Reference                      Term Frequency: 0         
Term: Small                          Term Frequency: 0         
Term: Focus                          Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Nonaka                         Term Frequency: 0         
Term: Pioneers                       Term Frequency: 0         
Term: Instruction                    Term Frequency: 0         
Term: Collaborative                  Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Transforming                   Term Frequency: 0         
Term: Court                          Term Frequency: 0         
Term: Creation                       Term Frequency: 0         
Term: Support                        Term Frequency: 0         
Term: Network                        Term Frequency: 0         
Term: Transactions                   Term Frequency: 0         
Term: Measures                       Term Frequency: 0         
Term: Vwen                           Term Frequency: 0         
Term: Critical                       Term Frequency: 0         
Term: Fairclough                     Term Frequency: 0         
Term: York                           Term Frequency: 0         
Term: Rodrigues                      Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Analyzing                      Term Frequency: 0         
Term: Reategui                       Term Frequency: 0         
Term: With                           Term Frequency: 0         
Term: Automatica                     Term Frequency: 0         
Term: Even                           Term Frequency: 0         
Term: Patterns                       Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Relevant                       Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Measure                        Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Nodal                          Term Frequency: 0         
Term: Santa                          Term Frequency: 0         
Term: M.M                            Term Frequency: 0         
Term: Willis                         Term Frequency: 0         
Term: Complex                        Term Frequency: 0         
Term: Behaviors                      Term Frequency: 0         
Term: Oxford                         Term Frequency: 0         
Term: Wasserman                      Term Frequency: 0         
Term: Engaging                       Term Frequency: 0         
Term: MOOCs                          Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Excerpt                        Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Learners                       Term Frequency: 0         
Term: Lam                            Term Frequency: 0         
Term: Temporality                    Term Frequency: 0         
Term: Mahwah                         Term Frequency: 0         
Term: Lee                            Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Erlbaum                        Term Frequency: 0         
Term: Systematic                     Term Frequency: 0         
Term: Liu                            Term Frequency: 0         
Term: Graphs                         Term Frequency: 0         
Term: Texas                          Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Relate                         Term Frequency: 0         
Term: Messina                        Term Frequency: 0         
Term: KBDeX                          Term Frequency: 0         
Term: Definition                     Term Frequency: 0         
Term: Hence                          Term Frequency: 0         
Term: Wortham                        Term Frequency: 0         
Term: Impact                         Term Frequency: 0         
Term: Scientist                      Term Frequency: 0         
Term: Sánchez                        Term Frequency: 0         
Term: Perspectives                   Term Frequency: 0         
Term: RESULTS                        Term Frequency: 0         
Term: Haywood                        Term Frequency: 0         
Term: Responsibility                 Term Frequency: 0         
Term: Punamäki                       Term Frequency: 0         
Term: Explorer                       Term Frequency: 0         
Term: Although                       Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: Gilbert                        Term Frequency: 0         
Term: Metacognition                  Term Frequency: 0         
Term: Statistical                    Term Frequency: 0         
Term: DU18                           Term Frequency: 0         
Term: O.R                            Term Frequency: 0         
Term: Another                        Term Frequency: 0         
Term: DU25                           Term Frequency: 0         
Term: DU26                           Term Frequency: 0         
Term: ISBN                           Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: View                           Term Frequency: 0         
Term: Identity                       Term Frequency: 0         
Term: DU66                           Term Frequency: 0         
Term: NTU                            Term Frequency: 0         
Term: Online                         Term Frequency: 0         
Term: Most                           Term Frequency: 0         
Term: Both                           Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Chicago                        Term Frequency: 0         
Term: Also                           Term Frequency: 0         
Term: Austin                         Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Alto                           Term Frequency: 0         
Term: Scardamalia                    Term Frequency: 0         
Term: Takeuchi                       Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: Over                           Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Among                          Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: Through                        Term Frequency: 0         
Term: Problems                       Term Frequency: 0         
Term: Project                        Term Frequency: 0         
Term: Stanford                       Term Frequency: 0         
Term: Growth                         Term Frequency: 0         
Term: Lawrence                       Term Frequency: 0         
Term: Harrison                       Term Frequency: 0         
Term: Holsti                         Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: MOOC                           Term Frequency: 0         
Term: Idea                           Term Frequency: 0         
Term: Sacks                          Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: ICLS                           Term Frequency: 0         
Term: Ideas                          Term Frequency: 0         
Term: Locke                          Term Frequency: 0         
Term: METHODS                        Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Turn                           Term Frequency: 0         
Term: Measurement                    Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Different                      Term Frequency: 0         
Term: Siemens                        Term Frequency: 0         
Term: Japanese                       Term Frequency: 0         
Term: Higher                         Term Frequency: 0         
Term: Dataset                        Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Criticism                      Term Frequency: 0         
Term: Activity                       Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Publications                   Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Klemann                        Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: SAGE                           Term Frequency: 0         
Term: Informal                       Term Frequency: 0         
Term: Consortium                     Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Weatherhead                    Term Frequency: 0         
Term: Text                           Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Groups                         Term Frequency: 0         
Term: Permissions                    Term Frequency: 0         
Term: Wong                           Term Frequency: 0         
Term: IEEE                           Term Frequency: 0         
Term: Opening                        Term Frequency: 0         
Term: Pub                            Term Frequency: 0         
Term: CATPAC                         Term Frequency: 0         
Term: Procedures                     Term Frequency: 0         
Term: CRADLE                         Term Frequency: 0         
Term: Vancouver                      Term Frequency: 0         
Term: Lowe                           Term Frequency: 0         
Term: Media                          Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: DISCUSSIONS                    Term Frequency: 0         
Term: Discipline                     Term Frequency: 0         
Term: Communications                 Term Frequency: 0         
Term: ABC                            Term Frequency: 0         
Term: Liberal                        Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Statistics                     Term Frequency: 0         
Term: Firstly                        Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Liddo                          Term Frequency: 0         
Term: S.B                            Term Frequency: 0         
Term: Cela                           Term Frequency: 0         
Term: FUTURE                         Term Frequency: 0         
Term: AND                            Term Frequency: 0         
Term: Emergence                      Term Frequency: 0         
Term: Reeve                          Term Frequency: 0         
Term: Temporal                       Term Frequency: 0         
Term: Quinto                         Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Molenaar                       Term Frequency: 0         
Term: CSILE                          Term Frequency: 0         
Term: Cannavacciuolo                 Term Frequency: 0         
Term: Further                        Term Frequency: 0         
Term: WORK                           Term Frequency: 0         
Term: Fujita                         Term Frequency: 0         
Term: Gütschow                       Term Frequency: 0         
Term: Setting                        Term Frequency: 0         
Term: Methods                        Term Frequency: 0         
Term: Nanyang                        Term Frequency: 0         
Term: Reimann                        Term Frequency: 0         
