Term: knowledge                      Term Frequency: 44        
Term: there                          Term Frequency: 0         
Term: License                        Term Frequency: 0         
Term: BehavioralDisorders            Term Frequency: 0         
Term: 2Considering                   Term Frequency: 0         
Term: Means                          Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: Third                          Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Public                         Term Frequency: 0         
Term: dataset.Grades                 Term Frequency: 0         
Term: Identifying                    Term Frequency: 0         
Term: Obtaining                      Term Frequency: 0         
Term: analysisTo                     Term Frequency: 0         
Term: explanationObtaining           Term Frequency: 0         
Term: threadsGrade                   Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Fischer.Analyzing              Term Frequency: 0         
Term: Puntambekar                    Term Frequency: 0         
Term: Connecting                     Term Frequency: 0         
Term: Indianapolis                   Term Frequency: 0         
Term: Productive                     Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: inClassrooms                   Term Frequency: 0         
Term: richKnowledge                  Term Frequency: 0         
Term: Publishers                     Term Frequency: 0         
Term: Requestpermissions             Term Frequency: 0         
Term: Feb                            Term Frequency: 0         
Term: extensively.In                 Term Frequency: 0         
Term: RESULTS4.1                     Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: Why                            Term Frequency: 0         
Term: analysisGeneral                Term Frequency: 0         
Term: Kumar                          Term Frequency: 0         
Term: Gener                          Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: threads.Measures               Term Frequency: 0         
Term: ICLS                           Term Frequency: 0         
Term: Design                         Term Frequency: 0         
Term: Toronto.In                     Term Frequency: 0         
Term: learning:Proceedings           Term Frequency: 0         
Term: GNU                            Term Frequency: 0         
Term: Exploiting                     Term Frequency: 0         
Term: Sand                           Term Frequency: 0         
Term: forFunctional                  Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Trees                          Term Frequency: 0         
Term: Instruments                    Term Frequency: 0         
Term: INTRODUCTIONCollaborative      Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Hand                           Term Frequency: 0         
Term: Resendes                       Term Frequency: 0         
Term: Seeds                          Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: onLearning                     Term Frequency: 0         
Term: TermsAlgorithms                Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Rose                           Term Frequency: 0         
Term: ofComputer                     Term Frequency: 0         
Term: FromPermission                 Term Frequency: 0         
Term: Were                           Term Frequency: 0         
Term: ALag                           Term Frequency: 0         
Term: Fungus                         Term Frequency: 0         
Term: Primary                        Term Frequency: 0         
Term: Roth                           Term Frequency: 0         
Term: PsychologicalBulletin          Term Frequency: 0         
Term: Dorfman                        Term Frequency: 0         
Term: West                           Term Frequency: 0         
Term: threads.Productive             Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: namedLag                       Term Frequency: 0         
Term: 5Grade                         Term Frequency: 0         
Term: Analogies                      Term Frequency: 0         
Term: Bloor                          Term Frequency: 0         
Term: Littleton                      Term Frequency: 0         
Term: Barbara                        Term Frequency: 0         
Term: METHODSTo                      Term Frequency: 0         
Term: Seeking                        Term Frequency: 0         
Term: Full                           Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Thompson                       Term Frequency: 0         
Term: scheme.Questioning             Term Frequency: 0         
Term: Does                           Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Sense                          Term Frequency: 0         
Term: Pattern                        Term Frequency: 0         
Term: Results                        Term Frequency: 0         
Term: Knowl                          Term Frequency: 0         
Term: Astronomy                      Term Frequency: 0         
Term: Comparing                      Term Frequency: 0         
Term: types.To                       Term Frequency: 0         
Term: Stahl                          Term Frequency: 0         
Term: Feedback                       Term Frequency: 0         
Term: Halatchliyski                  Term Frequency: 0         
Term: Robust                         Term Frequency: 0         
Term: behaviors.Given                Term Frequency: 0         
Term: Park                           Term Frequency: 0         
Term: Building                       Term Frequency: 0         
Term: Accounting                     Term Frequency: 0         
Term: Ming                           Term Frequency: 0         
Term: Mind                           Term Frequency: 0         
Term: Toronto252                     Term Frequency: 0         
Term: sourcesData                    Term Frequency: 0         
Term: Grade1                         Term Frequency: 0         
Term: Grade2                         Term Frequency: 0         
Term: Harvard                        Term Frequency: 0         
Term: Evidence                       Term Frequency: 0         
Term: Forum                          Term Frequency: 0         
Term: Kovalchick                     Term Frequency: 0         
Term: PhD                            Term Frequency: 0         
Term: Vygotsky                       Term Frequency: 0         
Term: Rocks                          Term Frequency: 0         
Term: processesA                     Term Frequency: 0         
Term: Monica                         Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Suthers                        Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: typesAnalysis                  Term Frequency: 0         
Term: Permissions                    Term Frequency: 0         
Term: Detailed                       Term Frequency: 0         
Term: neglected.To                   Term Frequency: 0         
Term: aboveSupporting                Term Frequency: 0         
Term: Unpacking                      Term Frequency: 0         
Term: Work                           Term Frequency: 0         
Term: Transi                         Term Frequency: 0         
Term: CLIO                           Term Frequency: 0         
Term: Theorizing                     Term Frequency: 0         
Term: discourseBodong                Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: Jack                           Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: ABC                            Term Frequency: 0         
Term: Liberal                        Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Flowers                        Term Frequency: 0         
Term: VocabularyKnowledge            Term Frequency: 0         
Term: Putnam                         Term Frequency: 0         
Term: Dyke                           Term Frequency: 0         
Term: advancingLag                   Term Frequency: 0         
Term: Arguello                       Term Frequency: 0         
Term: Lamon                          Term Frequency: 0         
Term: Working                        Term Frequency: 0         
Term: Proposing                      Term Frequency: 0         
Term: Qin                            Term Frequency: 0         
Term: FORTRAN                        Term Frequency: 0         
Term: Sawyer                         Term Frequency: 0         
Term: 229K                           Term Frequency: 0         
Term: Yule’s                         Term Frequency: 0         
Term: Thisscheme                     Term Frequency: 0         
Term: knowledge.To                   Term Frequency: 0         
Term: Thesefindings                  Term Frequency: 0         
Term: Tool                           Term Frequency: 0         
Term: AND                            Term Frequency: 0         
Term: Scale                          Term Frequency: 0         
Term: Improving                      Term Frequency: 0         
Term: Acosta                         Term Frequency: 0         
Term: Needs                          Term Frequency: 0         
Term: Reeve                          Term Frequency: 0         
Term: U.Hoppe                        Term Frequency: 0         
Term: Effect                         Term Frequency: 0         
Term: Such                           Term Frequency: 0         
Term: Dawson                         Term Frequency: 0         
Term: Temporal                       Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: SequentialAnalysis             Term Frequency: 0         
Term: Table2                         Term Frequency: 0         
Term: Acting                         Term Frequency: 0         
Term: General                        Term Frequency: 0         
Term: CSILE                          Term Frequency: 0         
Term: Introducing                    Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: Itcould                        Term Frequency: 0         
Term: Analysingproductive            Term Frequency: 0         
Term: ideasAnalogies                 Term Frequency: 0         
Term: Methodology                    Term Frequency: 0         
Term: Synthesizing                   Term Frequency: 0         
Term: Nathan                         Term Frequency: 0         
Term: Massachusetts                  Term Frequency: 0         
Term: Sackett                        Term Frequency: 0         
Term: Policy                         Term Frequency: 0         
Term: Asking                         Term Frequency: 0         
Term: InA                            Term Frequency: 0         
Term: InJ                            Term Frequency: 0         
Term: abandoned.A                    Term Frequency: 0         
Term: Methods                        Term Frequency: 0         
Term: Uses                           Term Frequency: 0         
Term: SAS                            Term Frequency: 0         
Term: acm.org.LAK                    Term Frequency: 0         
Term: explanationsSyntheses          Term Frequency: 0         
Term: Reimann                        Term Frequency: 0         
Term: Supporting                     Term Frequency: 0         
Term: onVocabulary                   Term Frequency: 0         
